date,title,source
2025-06-19T17:27:17Z,Gulf monarchies hold rival Iran close as Israel conflict rages - Financial Times,Unknown
2025-06-19T16:38:15Z,"Supreme Court upholds a state law banning some gender-affirming care for transgenders kids - ABC News - Breaking News, Latest News and Videos",abc-news
2025-06-19T16:02:06Z,‘He’s right there!’: How the Minnesota attacks and manhunt unfolded - The Washington Post,the-washington-post
2025-06-19T15:29:00Z,Trump extends TikTok ban deadline by another 90 days - NBC News,nbc-news
2025-06-19T15:04:30Z,What to know about the COVID variant that may cause 'razor blade' sore throats - KOMO,Unknown
2025-06-19T14:29:04Z,C.J. Mosley announces his retirement - NBC Sports,Unknown
2025-06-19T14:22:25Z,Eric Dane Seemingly Debuts New Romance on Red Carpet - Yahoo,Unknown
2025-06-19T14:05:32Z,Justin Baldoni granted access to Taylor Swift and Blake Lively's private text messages - NBC News,nbc-news
2025-06-19T13:47:39Z,Top NBA Draft Prospect Suddenly Cancels Workout With 76ers - Sports Illustrated,Unknown
2025-06-19T13:39:00Z,Tennis legend Chris Evert rips WNBA stars for not appreciating Caitlin Clark after wild melee - New York Post,Unknown
2025-06-19T13:25:00Z,"Nothing Phone (3) has ‘Glyph Matrix’ lights in corner, leaked design was likely wrong [Video] - 9to5Google",Unknown
2025-06-19T13:01:36Z,"Bruce Springsteen: ‘Time Is Finite, and Your Performing Time Is Finite’ - Rolling Stone",Unknown
2025-06-19T13:01:21Z,1930s 'Dragon Man' Finally Gives Elusive Ancient Human Species a Face - ScienceAlert,Unknown
2025-06-19T13:00:00Z,I Tried the Future of Smart Glasses at WWDC. They Weren't Made by Apple - CNET,Unknown
2025-06-19T12:00:38Z,The island city where Juneteenth was born - BBC,Unknown
2025-06-19T11:45:00Z,"16 Billion Apple, Facebook, Google And Other Passwords Leaked — Act Now - Forbes",Unknown
2025-06-19T11:34:22Z,Samsung aims to catch up to Chinese rivals for thin foldable phones as Apple said to enter the fray - CNBC,Unknown
